,id,response,cand,question,knowledge,knowledge_ans,score
0,0,elvis presley,NO_Q,NO_Q,"Jailhouse Rock is a 1957 American musical drama film directed by Richard Thorpe and starring Elvis Presley, Judy Tyler, and Mickey Shaughnessy.",NO_Q,-1.0
1,1,"wizard: yes, i know about ireland.",NO_Q,NO_Q,"The island has lush vegetation, a product of its mild but changeable climate which is free of extremes in temperature.",NO_Q,-1.0
2,2,the upper paleolithic,NO_Q,NO_Q,"Based on indirect evidence, the bow seems to have been invented near the transition from the Upper Paleolithic to the Mesolithic, some 10,000 years ago.",NO_Q,-1.0
3,3,The Chihuahua () is the smallest breed of dog and is,The Chihuahua,dog breed,The Chihuahua () is the smallest breed of dog and is named after the state of Chihuahua in Mexico.,the chihuahua,1.0
4,4,"wizard: yes, i am. they are psychologists who study motivation.",NO_Q,NO_Q,"Motivation theories can be classified on a number of bases:  Motivation as a desire to perform an action is usually defined as having two parts, directional such as directed towards a positive stimulus or away from a negative one, as well as the activated ""seeking phase"" and consummatory ""liking phase"".",NO_Q,-1.0
5,5,wizard: i enjoy going out in the woods to hunt animals. apprentice: hi. what,NO_Q,NO_Q,"Lawful hunting is distinguished from poaching, which is the illegal killing, trapping or capture of the hunted species.",NO_Q,-1.0
6,6,the third season of the walking dead started in october 2013.,NO_Q,NO_Q,"Beginning with its third season, ""The Walking Dead"" has attracted the most 18- to 49-year-old viewers of any cable or broadcast television series.",NO_Q,-1.0
7,7,harry potter is a series of fantasy novels. apprentice has only seen the movies.,NO_Q,NO_Q,"Since the release of the first novel, ""Harry Potter and the Philosopher's Stone"", on 26 June 1997, the books have found immense popularity, critical acclaim, and commercial success worldwide.",NO_Q,-1.0
8,8,apprentice: i think thierry henry is one of my all time favorite players. what about you,NO_Q,NO_Q,At international level he represented France and is his country's record goalscorer.,NO_Q,-1.0
9,9,"wizard: yes, they are very tasty.",NO_Q,NO_Q,The species that are hunted are referred to as game or prey and are usually mammals and birds.,NO_Q,-1.0
10,10,"wizard: yes, i have. it's a metaphor for major emotional and physical pain",NO_Q,NO_Q,"The emotional ""pain"" of a broken heart is believed to be part of the survival instinct.",NO_Q,-1.0
11,11,"apprentice: i have never been to yellowstone, but i would love to go.",NO_Q,NO_Q,no_passages_used,NO_Q,-1.0
12,12,The Discovery Channel is an American basic cable and satellite television channel. It is the flagship television property,The Discovery Channel,television channel,"Discovery Channel (known as The Discovery Channel from 1985 to 1995, and often referred to as simply Discovery) is an American basic cable and satellite television channel (which is also delivered via IPTV, terrestrial television and internet television in other parts of the world) that is the flagship television property of Discovery Communications, a publicly traded company run by CEO David Zaslav.",discovery channel,1.0
13,13,apprentice: i'm a big fan of american football. do you watch it? wizard,NO_Q,NO_Q,"Antonio Ramiro Romo (born April 21, 1980) is an American football television analyst and former quarterback who played 14 seasons with the Dallas Cowboys of the National Football League (NFL).",NO_Q,-1.0
14,14,apprentice: i love the band guns n' roses. they are my favorite band ever,NO_Q,NO_Q,"Guns N' Roses has released six studio albums, accumulating sales of more than 100 million records worldwide, including 45 million in the United States, making them the 41st best-selling artist of all time.",NO_Q,-1.0
15,15,apprentice went to a nickelback concert this past summer. the lead singer was very funny during,NO_Q,NO_Q,"The band is composed of guitarist and lead vocalist Chad Kroeger, guitarist, keyboardist and backing vocalist Ryan Peake, bassist Mike Kroeger, and drummer Daniel Adair.",NO_Q,-1.0
16,16,"Wizard: Yes, I love classic rock, especially from the 50s. Rock N Roll Experience",Rock N Roll Experience,rock and roll,"Hard rock developed into a major form of popular music in the 1970s, with notable bands such as AC/DC, the Who, Led Zeppelin, Queen, Black Sabbath, Deep Purple, Aerosmith, KISS and Van Halen.",,0.0
17,17,"Let's Go Bowling has shared the stage with many diverse musical acts, including No Dou",No Dou,rock band,"Let's Go Bowling has shared the stage with many diverse musical acts, including No Doubt, Pearl Jam, Goo Goo Dolls, Men at Work, The English Beat, Steel Pulse, Busta Rhymes, The Skatalites, Reel Big Fish, Reverend Horton Heat, Fishbone, The Untouchables, Cherry Poppin' Daddies, Tokyo Ska Paradise Orchestra, Moe., the Young Dubliners, and Shaggy.",no doubt,0.5
18,18,apprentice: i don't really know the rules of american football. wizard: oh really?,NO_Q,NO_Q,NFL RedZone from NFL Network is an American sports television channel owned and operated by NFL Network since 2009.,NO_Q,-1.0
19,19,"wizard: yes, it's a good idea.",NO_Q,NO_Q,no_passages_used,NO_Q,-1.0
20,20,harry potter chronicles the life of harry potter and his friends.,NO_Q,NO_Q,"The series has also had its share of criticism, including concern about the increasingly dark tone as the series progressed, as well as the often gruesome and graphic violence it depicts.",NO_Q,-1.0
21,21,the first depiction of a skier with two ski poles dates to 1741,NO_Q,NO_Q,The first depiction of a skier with two ski poles dates to 1741.,NO_Q,-1.0
22,22,"apprentice: i'm so sad. i broke up with my girlfriend, well ex girlfriend,",NO_Q,NO_Q,no_passages_used,NO_Q,-1.0
23,23,wizard: i've heard that the zombies are a lot more dangerous than they look,NO_Q,NO_Q,"A zombie (Haitian French: """", ) is a fictional undead being created through the reanimation of a human corpse.",NO_Q,-1.0
24,24,"Dylan Lauren was featured on the cover of the May 2011 ""Forbes"" magazine for inherit",Dylan Lauren,who is featured on the cover of the may 2011 issue of forbes magazine?,"Founder Dylan Lauren was featured on the cover of the May 2011 ""Forbes"" magazine for inheriting her father's entrepreneurial genes.",dylan lauren,1.0
25,25,wizard: i love american football too. it's a great team sport played on ,NO_Q,NO_Q,He is one of only two players to win five Super Bowls (the other being defensive player Charles Haley) and the only player to win them all playing for one team.,NO_Q,-1.0
26,26,"wizard: yes, i have been to europe.",NO_Q,NO_Q,Thick woodlands covered the island until the Middle Ages.,NO_Q,-1.0
27,27,"apprentice: yes, they are still together today.",NO_Q,NO_Q,"Guns N' Roses has released six studio albums, accumulating sales of more than 100 million records worldwide, including 45 million in the United States, making them the 41st best-selling artist of all time.",NO_Q,-1.0
28,28,wizard: i design video games. applying game design itself is a metadesign. apprentice,NO_Q,NO_Q,"Academically, game design is part of game studies, while game theory studies strategic decision making (primarily in non-game situations).",NO_Q,-1.0
29,29,wizard: it is based on corn and kernels.,NO_Q,NO_Q,Archaeologists discovered that people have known about popcorn for thousands of years.,NO_Q,-1.0
30,30,apprentice: i like cod but only eat wild caught cod. i prefer to eat,NO_Q,NO_Q,"Cod livers are processed to make cod liver oil, an important source of vitamin A, vitamin D, vitamin E, and omega-3 fatty acids (EPA and DHA).",NO_Q,-1.0
31,31,wizard: i used to watch mythsbusters on a weekly basis. it,NO_Q,NO_Q,The show's title derives from the inherent high risk of injury or death associated with the work.,NO_Q,-1.0
32,32,"apprentice: i'm not a big fan of dave matthews band, but i do",NO_Q,NO_Q,"However, some have argued that it does match what is known as situational irony.",NO_Q,-1.0
33,33,"wizard: yes, i used to bowl all of the time when i was younger. i still",NO_Q,NO_Q,"The maximum score is 300, which is achieved by getting 12 strikes in a row.",NO_Q,-1.0
34,34,Harry Potter is a series of fantasy novels written by British author J. K. Rowling,J. K. Rowling,author,"The novels chronicle the life of a young wizard, Harry Potter, and his friends Hermione Granger and Ron Weasley, all of whom are students at Hogwarts School of Witchcraft and Wizardry.",[CLS],0.0
35,35,archery is a sport that uses a bow to propel arrows. it dates,NO_Q,NO_Q,"A person who participates in archery is typically called an archer or a ""bowman"", and a person who is fond of or an expert at archery is sometimes called a toxophilite.",NO_Q,-1.0
36,36,wizard: i have tried both. i was better at snow skiing than water skiing. i think,NO_Q,NO_Q,"Yoga (; Sanskrit, योगः Listen) is a group of physical, mental, and spiritual practices or disciplines which originated in ancient India.",NO_Q,-1.0
37,37,wizard: i took classes about games at the university.,NO_Q,NO_Q,"The most common undergraduate degree is the bachelor's degree, although in some countries lower qualifications are titled degrees (e.g.",NO_Q,-1.0
38,38,"elvis presley was born on january 16, 1935, in memphis, tennessee.",NO_Q,NO_Q,"Presley's first RCA single, ""Heartbreak Hotel"", was released in January 1956 and became a number one hit in the United States.",NO_Q,-1.0
39,39,"apprentice: what is your favorite color? wizard: i like green, it is peaceful. it",NO_Q,NO_Q,"The apple tree (""Malus pumila"", commonly and erroneously called ""Malus domestica"") is a deciduous tree in the rose family best known for its sweet, pomaceous fruit, the apple.",NO_Q,-1.0
40,40,"apprentice: what is your favorite color? wizard: i like green, it reminds me of",NO_Q,NO_Q,"In subtractive color systems, used in painting and color printing, it is created by a combination of yellow and blue, or yellow and cyan; in the RGB color model, used on television and computer screens, it is one of the additive primary colors, along with red and blue, which are mixed in different combinations to create all other colors.",NO_Q,-1.0
41,41,apprentice: i was bilked so much medically last time wizard: oh god,NO_Q,NO_Q,"In the United States, Medicare is a single-payer, national social insurance program administered by the U.S. federal government since 1966, currently using about 30–50 private insurance companies across the United States under contract for administration.",NO_Q,-1.0
42,42,apprentice: i'm a big fan of nickelback. what do you think of them,NO_Q,NO_Q,"The band went through a few drummer changes between 1995 and 2005, achieving its current lineup when Adair replaced drummer Ryan Vikedal.",NO_Q,-1.0
43,43,Harry Potter is a series of fantasy novels written by British author J. K. Rowling,J. K. Rowling,author,Harry Potter is a series of fantasy novels written by British author J. K. Rowling.,j. k. rowling,1.0
44,44,wizard: there are three basic forms of 10 pin bowling.,NO_Q,NO_Q,"A well-known variant of ""tweening"" is the power stroker.",NO_Q,-1.0
45,45,apprentice: i have trouble getting motivated. what about you? wizard: yea same motivation is,NO_Q,NO_Q,"A motive is what prompts the person to act in a certain way, or at least develop an inclination for specific behavior.",NO_Q,-1.0
46,46,wizard: it took me about a year.,NO_Q,NO_Q,All-star teams competing prior to 1987 were placed into the same divisions as teams that represented schools and sports leagues.,NO_Q,-1.0
47,47,instagram is a photo sharing app.,NO_Q,NO_Q,Instagram lets registered users upload photos or videos to the service.,NO_Q,-1.0
48,48,"Wizard is going to see Nickelback soon. Nickelback is from Hanna, Alberta Canada and",Nickelback,rock band,"Nickelback is one of the most commercially successful Canadian groups, having sold more than 50 million albums worldwide and ranking as the eleventh best-selling music act, and the second best-selling foreign act in the U.S. of the 2000s, behind The Beatles.",nickelback,1.0
49,48,"Wizard is going to see Nickelback soon. Nickelback is from Hanna, Alberta Canada and",Nickelback,rock band,"Nickelback is one of the most commercially successful Canadian groups, having sold more than 50 million albums worldwide and ranking as the eleventh best-selling music act, and the second best-selling foreign act in the U.S. of the 2000s, behind The Beatles.",nickelback,1.0
50,49,"wizard: yes, it is similar to chinese. but it's not as easy to learn",NO_Q,NO_Q,"Following the end in 1853 of Japan's self-imposed isolation, the flow of loanwords from European languages increased significantly.",NO_Q,-1.0
51,50,apprentice: i like green. it is right between yellow and blue on the color wheel. wizard,NO_Q,NO_Q,"After several decades producing commercial pigments, Binney & Smith produced their first crayon, the black Staonal Marking Crayon, in 1902.",NO_Q,-1.0
52,51,harry potter consists of seven different fantasy novels.,NO_Q,NO_Q,"The novels chronicle the life of a young wizard, Harry Potter, and his friends Hermione Granger and Ron Weasley, all of whom are students at Hogwarts School of Witchcraft and Wizardry.",NO_Q,-1.0
53,52,wizard: there are many types of deer around the world that are hunted for food,NO_Q,NO_Q,"In North America, the species is widely distributed east of the Rocky Mountains, but elsewhere, it is mostly replaced by the black-tailed or mule deer (""Odocoileus hemionus"").",NO_Q,-1.0
54,53,apprentice: i like lime green too.,NO_Q,NO_Q,Many creatures have adapted to their green environments by taking on a green hue themselves as camouflage.,NO_Q,-1.0
55,54,"apprentice: yes, i've seen some made out of wool.",NO_Q,NO_Q,It may be machine- or hand-knitted.,NO_Q,-1.0
56,55,wfd and wems have two equally important divisions: the winnipeg fire department (wfd,NO_Q,NO_Q,"WFPS has two equally important divisions: The Winnipeg Fire Department (WFD) and Winnipeg Emergency Medical Services (WEMS), using a centralized dispatch system.",NO_Q,-1.0
57,56,wizard: what is your favorite color?,NO_Q,NO_Q,Many creatures have adapted to their green environments by taking on a green hue themselves as camouflage.,NO_Q,-1.0
58,57,"wizard: yes, i have. it's a great way to find products i want",NO_Q,NO_Q,"Online stores typically enable shoppers to use ""search"" features to find specific models, brands or items.",NO_Q,-1.0
59,58,the duo has earned two platinum and five gold albums.,NO_Q,NO_Q,The duo has earned two platinum and five gold albums.,NO_Q,-1.0
60,59,apprentice: northern ireland.,NO_Q,NO_Q,no_passages_used,NO_Q,-1.0
61,60,"Apprentice: I design educational games for grade school age children. And yes, they are officially *",educational games,educational,"The independent game industry has seen a substantial rise in recent years with the growth of new online distribution systems, such as Steam and Uplay, as well as the mobile game market, such as for Android and iOS devices.",[CLS],0.0
62,60,"Apprentice: I design educational games for grade school age children. And yes, they are officially *",grade school age children,grade school age,"The independent game industry has seen a substantial rise in recent years with the growth of new online distribution systems, such as Steam and Uplay, as well as the mobile game market, such as for Android and iOS devices.",[CLS],0.0
63,61,"John Grisham's first bestseller, ""The Firm"", sold more than seven million",The Firm,John Grisham's,"Grisham's first bestseller, ""The Firm"", sold more than seven million copies.","""the firm"", sold more than seven million copies.",0.25
64,62,"apprentice: yes, but i am afraid it might be stressful. do you think so?",NO_Q,NO_Q,In some countries 'Paramedic' is a protected title and accountable to a professional regulatory body.,NO_Q,-1.0
65,63,apprentice: i really like bowling but i have not done it in awhile. has anything changed,NO_Q,NO_Q,"The maximum score is 300, which is achieved by getting 12 strikes in a row.",NO_Q,-1.0
66,64,"wizard: i am certain the skis then were much different than today. apprentice: yes,",NO_Q,NO_Q,"Many types of competitive skiing events are recognized by the International Olympic Committee (IOC), and the International Ski Federation (FIS).",NO_Q,-1.0
67,65,wizard: a strike is a ball that goes into the gutter and hits the pins,NO_Q,NO_Q,"Three consecutive strikes is a known as a ""turkey"".",NO_Q,-1.0
68,66,1993,NO_Q,NO_Q,"The book was adapted into a 1993 feature film of the same name, starring Tom Cruise, and a 2012 TV series which ""continues the story of attorney Mitchell McDeere and his family 10 years after the events of the film and novel.""",NO_Q,-1.0
69,67,apprentice: i learned about colors from my teacher.,NO_Q,NO_Q,,NO_Q,-1.0
70,68,"apprentice: i don't watch it, but i know it's very popular. it",NO_Q,NO_Q,"He awakens from a coma after a life-threatening gun shot wound to find the world overrun by zombies, to which they refer as ""walkers"".",NO_Q,-1.0
71,69,apprentice wants to learn how to design video games. wizard thinks education is required.,NO_Q,NO_Q,"Game design creates goals, rules and challenges to define a board game, card game, dice game, casino game, role-playing game, sport, video game, war game or simulation that produces desirable interactions among its participants and, possibly, spectators.",NO_Q,-1.0
