index,topic,prompt
0,Elvis Presley,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Jailhouse Rock is a 1957 American musical drama film directed by Richard Thorpe and starring Elvis Presley, Judy Tyler, and Mickey Shaughnessy. Conversation:  Wizard: Oh baby.... Elvis Presley is truly The King of Rock and Roll!  Apprentice: yes...who doesn't love Elvis Presley and his music?  Wizard: Seriously. I have been planning a vaction to Graceland myself. I have family in Tennessee so it could be good.  Apprentice: I would love to tour his home.  Which one of his songs is your favorite?/"
1,Ireland,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: The island has lush vegetation, a product of its mild but changeable climate which is free of extremes in temperature. Conversation:  Apprentice: What do you know about ireland?  Wizard: Are you referring to the island in the North Atlantic? It has a population of 6.6 million people. Why do you ask?  Apprentice: Exactly, do you know any thing about Island north Atlantic?"
2,Archery,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Based on indirect evidence, the bow seems to have been invented near the transition from the Upper Paleolithic to the Mesolithic, some 10,000 years ago. Conversation:  Apprentice: I recently took up archery and I think I love it. Do you know anything about Archery?  Wizard: Archery is a sport/skill of using a bow to propel arrows.  Apprentice: And a great sport it is. Do you know where archery originated from?"
3,Chihuahua (dog),"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: The Chihuahua () is the smallest breed of dog and is named after the state of Chihuahua in Mexico. Conversation:  Apprentice: I love chihuahuas, I have 2 of them.  Wizard: Wow chihuahua are something else. Tiny and the smallest breed of dog.  Apprentice: Yep, they get a bad rap about their demeanor too. Most people say they're mean but one of mine is the sweetest ever."
4,Motivation,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Motivation theories can be classified on a number of bases:  Motivation as a desire to perform an action is usually defined as having two parts, directional such as directed towards a positive stimulus or away from a negative one, as well as the activated ""seeking phase"" and consummatory ""liking phase"". Conversation:  Wizard: What is your motivation for your actions related to education, work, etc.?  Apprentice: That's a tough question. I'd say my own progress. I like seeing how much I improve with something. You?  Wizard: I am retired now.  Are you familiar with the work of Mehr and Meyer, well known psychologists?  Apprentice: I am not. Could you tell me about them?"
5,Hunting,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Lawful hunting is distinguished from poaching, which is the illegal killing, trapping or capture of the hunted species. Conversation:  Wizard: I enjoy going out in the woods to hunt animals.  Apprentice: Hi. What sort of animals?  Wizard: The animals I would hunt are elk, mule deer, pheasants and Canadian geese. We would also hunt gophers because they would over populate and become pests.  Apprentice: I can understand about the gophers. And the geese. Canada geese are a scourge!"
6,The Walking Dead (TV series),"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Beginning with its third season, ""The Walking Dead"" has attracted the most 18- to 49-year-old viewers of any cable or broadcast television series. Conversation:  Wizard: The Walking Dead is a kewl post apocalyptic horror tv show.  Apprentice: I have never watched it.  Who is in the show?  Wizard: The lead character is named Andrew Lincoln. The Sheriff's deputy is Rick Grimes.   Apprentice: When did the series start?  "
7,Harry Potter,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Since the release of the first novel, ""Harry Potter and the Philosopher's Stone"", on 26 June 1997, the books have found immense popularity, critical acclaim, and commercial success worldwide. Conversation:  Wizard: Harry Potter is a series of fantasy novels, do you know of them?  Apprentice: I do know them, but I have only seen the movies, I never read the books  Wizard: Ah well if you have only seen the movie you may not know that J.K Rowling wrote the books.  Apprentice: I have heard that, I recognize her name, I know she is very famous"
8,Thierry Henry,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: At international level he represented France and is his country's record goalscorer. Conversation:  Apprentice: Thierry Henry is one of my all time favorite players. What about you?  Wizard: He was good.  he is a retired French professional footballer  Apprentice: Yes I think he retired many years ago. He was a coach for Belgium during the World Cup."
9,Hunting,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: The species that are hunted are referred to as game or prey and are usually mammals and birds. Conversation:  Wizard: Ive been hunting now for about 8 years, its really fun and I do it for the sport, Have you ever been hunting before?   Apprentice: No, i haven't. It's not really my cup of tea.  Wizard: I have mostly used hunting as a means of pest control, I have an invasive species of warthogs on my land and they destroy my crops.   Apprentice: Yes, that is completely understandable. Are warthogs edible?"
