,id,response,cand,question,knowledge,knowledge_ans,score
0,0,the king of rock and roll,NO_Q,NO_Q,"Jailhouse Rock is a 1957 American musical drama film directed by Richard Thorpe and starring Elvis Presley, Judy Tyler, and Mickey Shaughnessy.",NO_Q,-1.0
1,1,"Starr married Maureen Cox in 1965, and they had three children together: Za",1965,Starr married Maureen Cox,"The island has lush vegetation, a product of its mild but changeable climate which is free of extremes in temperature.",[CLS],0.0
2,2,"Drusilla has all the standard powers and vulnerabilities of a vampire, plus minor psychic",Drusilla,Vampire,"Based on indirect evidence, the bow seems to have been invented near the transition from the Upper Paleolithic to the Mesolithic, some 10,000 years ago.",[CLS],0.0
3,3,"Styron's next two novels, published between 1967 and 1979, sparked",Styron's next two novels,Styron,The Chihuahua () is the smallest breed of dog and is named after the state of Chihuahua in Mexico.,[CLS],0.0
4,4,jared leto,NO_Q,NO_Q,"Motivation theories can be classified on a number of bases:  Motivation as a desire to perform an action is usually defined as having two parts, directional such as directed towards a positive stimulus or away from a negative one, as well as the activated ""seeking phase"" and consummatory ""liking phase"".",NO_Q,-1.0
5,5,howard's energy began to wane.,NO_Q,NO_Q,"Lawful hunting is distinguished from poaching, which is the illegal killing, trapping or capture of the hunted species.",NO_Q,-1.0
6,6,The Walking Dead is a kewl post apocalyptic horror,The Walking Dead,a post apocalyptic horror,"Beginning with its third season, ""The Walking Dead"" has attracted the most 18- to 49-year-old viewers of any cable or broadcast television series.",[CLS],0.0
7,7,finding beauty in negative spaces,NO_Q,NO_Q,"Since the release of the first novel, ""Harry Potter and the Philosopher's Stone"", on 26 June 1997, the books have found immense popularity, critical acclaim, and commercial success worldwide.",NO_Q,-1.0
8,8,Thierry Henry is a retired French professional footballer. He was a coach for Belgium,Thierry Henry,former footballer,At international level he represented France and is his country's record goalscorer.,[CLS],0.0
9,9,"no, they are not edible.",NO_Q,NO_Q,The species that are hunted are referred to as game or prey and are usually mammals and birds.,NO_Q,-1.0
10,10,the 2001 manchester derby,NO_Q,NO_Q,"The emotional ""pain"" of a broken heart is believed to be part of the survival instinct.",NO_Q,-1.0
11,11,"Jones released his debut solo album, A Sentimental Education, in 2009.",A Sentimental Education,the album,no_passages_used,[CLS],0.0
12,12,"Earl Winfield Spencer Jr., a U.S. Navy aviator, at",Earl Winfield Spencer Jr.,U.S. Navy pilot,"Discovery Channel (known as The Discovery Channel from 1985 to 1995, and often referred to as simply Discovery) is an American basic cable and satellite television channel (which is also delivered via IPTV, terrestrial television and internet television in other parts of the world) that is the flagship television property of Discovery Communications, a publicly traded company run by CEO David Zaslav.",[CLS],0.0
13,13,"no, he did not accept that appointment.",NO_Q,NO_Q,"Antonio Ramiro Romo (born April 21, 1980) is an American football television analyst and former quarterback who played 14 seasons with the Dallas Cowboys of the National Football League (NFL).",NO_Q,-1.0
14,14,"After ending his amateur career in 2005, Golovkin signed a professional deal with the ",the,Golovkin signed a professional deal with the promoter in 2005,"Guns N' Roses has released six studio albums, accumulating sales of more than 100 million records worldwide, including 45 million in the United States, making them the 41st best-selling artist of all time.",[CLS],0.0
15,15,the trail rider with buck jones.,NO_Q,NO_Q,"The band is composed of guitarist and lead vocalist Chad Kroeger, guitarist, keyboardist and backing vocalist Ryan Peake, bassist Mike Kroeger, and drummer Daniel Adair.",NO_Q,-1.0
16,16,the balco scandal,NO_Q,NO_Q,"Hard rock developed into a major form of popular music in the 1970s, with notable bands such as AC/DC, the Who, Led Zeppelin, Queen, Black Sabbath, Deep Purple, Aerosmith, KISS and Van Halen.",NO_Q,-1.0
17,17,the english beat,NO_Q,NO_Q,"Let's Go Bowling has shared the stage with many diverse musical acts, including No Doubt, Pearl Jam, Goo Goo Dolls, Men at Work, The English Beat, Steel Pulse, Busta Rhymes, The Skatalites, Reel Big Fish, Reverend Horton Heat, Fishbone, The Untouchables, Cherry Poppin' Daddies, Tokyo Ska Paradise Orchestra, Moe., the Young Dubliners, and Shaggy.",NO_Q,-1.0
18,18,"rasputin travelled to the city of kazan on the volga river, where",NO_Q,NO_Q,NFL RedZone from NFL Network is an American sports television channel owned and operated by NFL Network since 2009.,NO_Q,-1.0
19,19,the future is medieval,NO_Q,NO_Q,no_passages_used,NO_Q,-1.0
20,20,"The series has also had its share of criticism, including concern about the increasingly dark tone as the",the,"The series has also had its share of criticism, including concern about the increasingly dark tone","The series has also had its share of criticism, including concern about the increasingly dark tone as the series progressed, as well as the often gruesome and graphic violence it depicts.","the series has also had its share of criticism, including concern about the increasingly dark tone as the series progressed",0.0
21,21,the first depiction of a skier with two ski poles dates to 1741,NO_Q,NO_Q,The first depiction of a skier with two ski poles dates to 1741.,NO_Q,-1.0
22,22,"Bernard Lewis graduated from the School of Oriental Studies (now School of Oriental and African Studies, SO",the School of Oriental Studies,The School of Oriental and African Studies,no_passages_used,[CLS],0.0
23,23,team a was created at the instigation of then secretary of defense donald rumsfeld,NO_Q,NO_Q,"A zombie (Haitian French: """", ) is a fictional undead being created through the reanimation of a human corpse.",NO_Q,-1.0
24,24,"Dylan Lauren was featured on the cover of the May 2011 ""Forbes"" magazine for inherit",Dylan Lauren,who is featured on the cover of the may 2011 issue of forbes magazine?,"Founder Dylan Lauren was featured on the cover of the May 2011 ""Forbes"" magazine for inheriting her father's entrepreneurial genes.",dylan lauren,1.0
25,25,"BT released his third album, Movement in Still Life, in 1999.",1999,In what year did BT release Movement in Still Life?,He is one of only two players to win five Super Bowls (the other being defensive player Charles Haley) and the only player to win them all playing for one team.,[CLS],0.0
26,26,"Jello Biafra was brought to trial in Los Angeles for distributing ""harm",harm,distributing,Thick woodlands covered the island until the Middle Ages.,[CLS],0.0
27,27,no.,NO_Q,NO_Q,"Guns N' Roses has released six studio albums, accumulating sales of more than 100 million records worldwide, including 45 million in the United States, making them the 41st best-selling artist of all time.",NO_Q,-1.0
28,28,wizard: i design video games. applying game design itself is a metadesign. apprentice:,NO_Q,NO_Q,"Academically, game design is part of game studies, while game theory studies strategic decision making (primarily in non-game situations).",NO_Q,-1.0
29,29,kane,NO_Q,NO_Q,Archaeologists discovered that people have known about popcorn for thousands of years.,NO_Q,-1.0
30,30,"eurythmics released their next album, revenge, in 1986.",NO_Q,NO_Q,"Cod livers are processed to make cod liver oil, an important source of vitamin A, vitamin D, vitamin E, and omega-3 fatty acids (EPA and DHA).",NO_Q,-1.0
31,31,the most popular (or a few of the most spoken) language(s) from these,NO_Q,NO_Q,The show's title derives from the inherent high risk of injury or death associated with the work.,NO_Q,-1.0
