index,dialogue,knowledge,speakers,number_of_turns,word_count
0,"[' Wizard: Oh baby.... Elvis Presley is truly The King of Rock and Roll!', "" Apprentice: yes...who doesn't love Elvis Presley and his music?"", ' Wizard: Seriously. I have been planning a vaction to Graceland myself. I have family in Tennessee so it could be good.', ' Apprentice: I would love to tour his home.  Which one of his songs is your favorite?/', ' Wizard: I always liked ""Hounddog."" My grandpa heard Elvis sing it live in Memphis.', ' Apprentice: oh wow thats a classic.  what about jailhouse rock', "" Wizard: Pretty good. Didn't Elvis make Jailhouse rock into a movie?"", ' Apprentice: Yes, I think he did.  He made several movies.  ', ' Wizard: Was Elvis actually in jail? The movie depicts him dicovering his musical abilities in a cell.', "" Apprentice: Hmm...that I don't know.  I am going to have to look that up later and see""]","['Elvis Aaron Presley (January 8, 1935\xa0– August 16, 1977) was an American singer, musician, and actor.', 'Regarded as one of the most significant cultural icons of the 20th century, he is often referred to as the ""King of Rock and Roll"" or simply ""the King"".', 'Presley was born in Tupelo, Mississippi, and relocated to Memphis, Tennessee, with his family when he was 13 years old.', 'His music career began there in 1954, recording at Sun Records with producer Sam Phillips, who wanted to bring the sound of African American music to a wider audience.', 'Accompanied by guitarist Scotty Moore and bassist Bill Black, Presley was a pioneer of rockabilly, an uptempo, backbeat-driven fusion of country music and rhythm and blues.', 'In 1955, drummer D.J.', ""Fontana joined to complete the lineup of Presley's classic quartet and RCA Victor acquired his contract in a deal arranged by Colonel Tom Parker, who would manage the singer for more than two decades."", 'Presley\'s first RCA single, ""Heartbreak Hotel"", was released in January 1956 and became a number one hit in the United States.', 'With a series of successful network television appearances and chart-topping records, he became the leading figure of the newly popular sound of rock and roll.']","['Wizard', 'Apprentice', 'Wizard', 'Apprentice', 'Wizard', 'Apprentice', 'Wizard', 'Apprentice', 'Wizard', 'Apprentice']",9,138
1,"[' Apprentice: What do you know about ireland?', ' Wizard: Are you referring to the island in the North Atlantic? It has a population of 6.6 million people. Why do you ask?', ' Apprentice: Exactly, do you know any thing about Island north Atlantic?', ' Wizard: There are lots of low-lying mountains in Ireland. Do you fancy a hike?', ' Apprentice: Wow, that will make island north Atlantic.', ' Wizard: It also has lush vegetation and is very clean and green.', ' Apprentice: Wow, I just feel like visiting their now.', "" Wizard: Yes but be careful you don't get lost in the thick woodlands! ""]","['Ireland (; ; Ulster-Scots: ) is an island in the North Atlantic.', ""It is separated from Great Britain to its east by the North Channel, the Irish Sea, and St George's Channel."", 'Ireland is the third-largest island in Europe.', 'It is the second largest island in the British Isles, after Great Britain.', 'Politically, Ireland is divided between the Republic of Ireland (officially named Ireland), which covers five-sixths of the island, and Northern Ireland, which is part of the United Kingdom, in the northeast of the island.', 'In 2011, the population of Ireland was about 6.6\xa0million, ranking it the second-most populous island in Europe after Great Britain.', 'Just under 4.8\xa0million live in the Republic of Ireland and just over 1.8\xa0million live in Northern Ireland.', ""The island's geography comprises relatively low-lying mountains surrounding a central plain, with several navigable rivers extending inland."", 'The island has lush vegetation, a product of its mild but changeable climate which is free of extremes in temperature.', 'Thick woodlands covered the island until the Middle Ages.', 'As of 2013, the amount of land that is wooded in Ireland is about 11% of the total, compared with a European average of 35%.', 'There are twenty-six extant mammal species native to Ireland.']","['Apprentice', 'Wizard', 'Apprentice', 'Wizard', 'Apprentice', 'Wizard', 'Apprentice', 'Wizard']",12,235
2,"[' Apprentice: I recently took up archery and I think I love it. Do you know anything about Archery?', ' Wizard: Archery is a sport/skill of using a bow to propel arrows.', ' Apprentice: And a great sport it is. Do you know where archery originated from?', "" Wizard: It's a very old one, practiced for at least 10,000 years used for military or hunting in many cultures."", ' Apprentice: Wow, thats amazing. Its been around for a long time. Do you know which culture invented it?', ' Wizard: It came from the ""beginning"" of humanity rpetty much, like Upper Paleolithic to Mesolithic times, there wasn\'t cultures yet, I believe.', ' Apprentice: An I guess it has spread out through out all the different cultures. Which type of bow do you consider to be the best?', ' Wizard: I like spear-throwers rather than bows, but all of them are pretty cool.', ' Apprentice: Have you done any competitive archery?', "" Wizard: I don't personally do it but I really admire it, people who are experts in it are called toxophilites.""]","['Archery is the sport, practice or skill of using a bow to propel arrows.', 'The word comes from the Latin ""arcus"".', 'Historically, archery has been used for hunting and combat.', 'In modern times, it is mainly a competitive sport and recreational activity.', 'A person who participates in archery is typically called an archer or a ""bowman"", and a person who is fond of or an expert at archery is sometimes called a toxophilite.', 'The bow and arrow seems to have been invented in the later Paleolithic or early Mesolithic periods.', 'The oldest signs of its use in Europe come from the in the north of Hamburg, Germany and dates from the late Paleolithic, about 10,000–9000 BC.', 'The arrows were made of pine and consisted of a mainshaft and a long fore shaft with a flint point.', 'There are no definite earlier bows; previous pointed shafts are known, but may have been launched by spear-throwers rather than bows.', 'The oldest bows known so far come from the Holmegård swamp in Denmark.', 'Bows eventually replaced the spear-thrower as the predominant means for launching shafted projectiles, on every continent except Australasia, though spear-throwers persisted alongside the bow in parts of the Americas, notably Mexico and among the Inuit.']","['Apprentice', 'Wizard', 'Apprentice', 'Wizard', 'Apprentice', 'Wizard', 'Apprentice', 'Wizard', 'Apprentice', 'Wizard']",11,405
3,"[' Apprentice: I love chihuahuas, I have 2 of them.', ' Wizard: Wow chihuahua are something else. Tiny and the smallest breed of dog.', "" Apprentice: Yep, they get a bad rap about their demeanor too. Most people say they're mean but one of mine is the sweetest ever."", ' Wizard: Yeah their history is shrouded in mystery, but the breed originated in Mexico.', "" Apprentice: I've always wondered if they came from the city Chihuahua, Mexico. My sister in law visited there once."", ' Wizard: Well people think they were named after Chihuahua in mexico, and were worshipped as deities by the Aztecs ', "" Apprentice: Ah so that makes sense why mine think they're gods lol "", ' Wizard: The Aztec religion upheld them as living gods with the power to return life to the dead and grand you fortune and fame.', "" Apprentice: That's really interesting, I never knew that! So they were like furry little royals then?"", ' Wizard: Absolutely they even mad wheeled dog toys representing the  Chihuahua kids could carry around with for good luck and fun.']","['The Chihuahua () is the smallest breed of dog and is named after the state of Chihuahua in Mexico.', 'Chihuahuas come in a wide variety of colors, and two coat lengths.', ""The Chihuahua's history is convoluted, and there are many theories surrounding the origin of the breed."", 'Both folklore and archaeological finds show that the breed originated in Mexico.', 'The most common theory is that Chihuahuas are descended from the ""Techichi"", a companion dog favored by the Toltec civilization in Mexico.', 'No records of the Techichi are available prior to the 9th century, although dog pots from Colima, Mexico, buried as part of the western Mexico shaft tomb tradition which date back to 300 BC are thought to depict Techichis.', 'It is probable that earlier ancestors were present prior to the Mayas as dogs approximating the Chihuahua are found in materials from the Great Pyramid of Cholula, predating 1530 and in the ruins of Chichen Itza on the Yucatán Peninsula.', 'In fact, wheeled dog toys representing the Chihuahua have been unearthed across Mesoamerica from Mexico to El Salvador.', 'The earliest of these were found at Tres Zapotes in Veracruz, Mexico, which date to 100 AD, indirect evidence that the breed was in Mexico over 1400 years before the first Europeans arrived.']","['Apprentice', 'Wizard', 'Apprentice', 'Wizard', 'Apprentice', 'Wizard', 'Apprentice', 'Wizard', 'Apprentice', 'Wizard']",9,576
4,"[' Wizard: What is your motivation for your actions related to education, work, etc.?', "" Apprentice: That's a tough question. I'd say my own progress. I like seeing how much I improve with something. You?"", ' Wizard: I am retired now.  Are you familiar with the work of Mehr and Meyer, well known psychologists?', ' Apprentice: I am not. Could you tell me about them?', ' Wizard: They said that ""Motivation is a word that is part of the popular culture as few other psychological concepts are.""  Do you agree with what they said?', "" Apprentice: I suppose so. I'm not terribly familiar with other psychological concepts, so I might have to defer to them!"", ' Wizard: They mentioned various motivational theories.', ' Apprentice: Can you explain those as well?']","[""Motivation is the reason for people's actions, desires, and needs."", ""Motivation is also one's direction to behavior, or what causes a person to want to repeat a behavior."", 'A motive is what prompts the person to act in a certain way, or at least develop an inclination for specific behavior.', 'According to Maehr and Meyer, ""Motivation is a word that is part of the popular culture as few other psychological concepts are.""', 'Motivation theories can be classified on a number of bases:  Motivation as a desire to perform an action is usually defined as having two parts, directional such as directed towards a positive stimulus or away from a negative one, as well as the activated ""seeking phase"" and consummatory ""liking phase"".', 'This type of motivation has neurobiological roots in the basal ganglia, and mesolimbic dopaminergic pathways.', 'Activated ""seeking"" behavior, such as locomotor activity, is influenced by dopaminergic drugs, and microdialysis experiments reveal that dopamine is released during the anticipation of a reward.', 'The ""wanting behavior"" associated with a rewarding stimulus can be increased by microinjections of dopamine and dopaminergic drugs in the dorsorostral nucleus accumbens and posterior ventral palladium.']","['Wizard', 'Apprentice', 'Wizard', 'Apprentice', 'Wizard', 'Apprentice', 'Wizard', 'Apprentice']",8,698
5,"[' Wizard: I enjoy going out in the woods to hunt animals.', ' Apprentice: Hi. What sort of animals?', ' Wizard: The animals I would hunt are elk, mule deer, pheasants and Canadian geese. We would also hunt gophers because they would over populate and become pests.', ' Apprentice: I can understand about the gophers. And the geese. Canada geese are a scourge!', ' Wizard: The Canadian geese can become huge pests too. In the midwest they often get comfortable in parks and refuse to fly south, leaving droppings everywhere.', ' Apprentice: So gross. Are they even from Canada? ', ' Wizard: Some of them are. They goose problem has become so bad that some people have gone from hunting them, to poaching them, which is illegally killing them. ', ' Apprentice: I wonder if goose meat is good to eat. That could be a solution. ', ' Wizard: Some people like to eat Canadian geese. Their meat can be a little greasy compared to other animals, but if you make it into a jerky, it is really good. ', "" Apprentice: mmmmmm...goose jerky. I'd be up for trying that. ""]","['Hunting is the practice of killing or trapping animals, or pursuing or tracking them with the intent of doing so.', 'Hunting wildlife or feral animals is most commonly done by humans for food, recreation, to remove predators that are dangerous to humans or domestic animals, or for trade.', 'Lawful hunting is distinguished from poaching, which is the illegal killing, trapping or capture of the hunted species.', 'The species that are hunted are referred to as game or prey and are usually mammals and birds.', 'Hunting can also be a means of pest control.', ""Hunting advocates state that hunting can be a necessary component of modern wildlife management, for example, to help maintain a population of healthy animals within an environment's ecological carrying capacity when natural checks such as predators are absent or very rare."", 'However, excessive hunting has also heavily contributed to the endangerment, extirpation and extinction of many animals.', 'The pursuit, capture and release, or capture for food of fish is called fishing, which is not commonly categorised as a form of hunting.', 'It is also not considered hunting to pursue animals without intent to kill them, as in wildlife photography, birdwatching, or scientific research activities which involve tranquilizing or tagging of animals or birds.']","['Wizard', 'Apprentice', 'Wizard', 'Apprentice', 'Wizard', 'Apprentice', 'Wizard', 'Apprentice', 'Wizard', 'Apprentice']",9,874
6,"[' Wizard: The Walking Dead is a kewl post apocalyptic horror tv show.', ' Apprentice: I have never watched it.  Who is in the show?', "" Wizard: The lead character is named Andrew Lincoln. The Sheriff's deputy is Rick Grimes. "", ' Apprentice: When did the series start?  ', ' Wizard: The Walk Dead premiered in 2010, as a cable tv show on AMC', ' Apprentice: Wow, it has been on the air for a long time.  What else can you tell me about it?  i', ' Wizard: This show mostly attracts the 18 to 49 year old aged viewers.', ' Apprentice: I wonder if it skews more to men rather than women.  Maybe it is popular with both though.']","['The Walking Dead is an American post-apocalyptic horror television series developed by Frank Darabont for AMC that is based on the comic book series of the same name by Robert Kirkman, Tony Moore, and Charlie Adlard.', 'Andrew Lincoln plays the show\'s lead character, sheriff\'s deputy Rick Grimes, who awakens from a coma discovering a world overrun by zombies, commonly referred to as ""walkers"".', 'Grimes reunites with his family and becomes the leader of a group he forms with other survivors.', 'Together they struggle to survive and adapt in a post-apocalyptic world filled with walkers and opposing groups of survivors, who are often more dangerous than the walkers themselves.', 'Much of the series takes place in and around Atlanta, Georgia, and later Alexandria, Virginia.', '""The Walking Dead"" premiered in the United States on October 31, 2010, exclusively shown on cable television channel AMC and internationally on Fox International Channels.', 'As a result of very favorable Nielsen ratings that rank the show unprecedentedly high for a cable series, AMC has renewed the series each year.', 'Beginning with its third season, ""The Walking Dead"" has attracted the most 18- to 49-year-old viewers of any cable or broadcast television series.']","['Wizard', 'Apprentice', 'Wizard', 'Apprentice', 'Wizard', 'Apprentice', 'Wizard', 'Apprentice']",8,984
7,"[' Wizard: Harry Potter is a series of fantasy novels, do you know of them?', ' Apprentice: I do know them, but I have only seen the movies, I never read the books', ' Wizard: Ah well if you have only seen the movie you may not know that J.K Rowling wrote the books.', ' Apprentice: I have heard that, I recognize her name, I know she is very famous', "" Wizard: Yeah she wasn't famous before writing Harry Potter, she says she came up with the idea while on a delayed train from Manchester to London in 1990."", ' Apprentice: That is a long time ago, it makes realize how old I am since it was so popular when I was a child', ' Wizard: It originally came out in june of 1997.', ' Apprentice: That is very shortly after I was even born, I wonder if it was even more popular when I was too young to remember', ' Wizard: It is still intensely popular! It has sold more than 500 millon copies worldwide.', ' Apprentice: Holy cow, I would not be surprised if that was the best selling book other than maybe religious texts!']","['Harry Potter is a series of fantasy novels written by British author J. K. Rowling.', 'The novels chronicle the life of a young wizard, Harry Potter, and his friends Hermione Granger and Ron Weasley, all of whom are students at Hogwarts School of Witchcraft and Wizardry.', ""The main story arc concerns Harry's struggle against Lord Voldemort, a dark wizard who intends to become immortal, overthrow the wizard governing body known as the Ministry of Magic, and subjugate all wizards and muggles, a reference term that means non-magical people."", 'Since the release of the first novel, ""Harry Potter and the Philosopher\'s Stone"", on 26 June 1997, the books have found immense popularity, critical acclaim, and commercial success worldwide.', 'They have attracted a wide adult audience as well as younger readers, and are often considered cornerstones of modern young adult literature.', 'The series has also had its share of criticism, including concern about the increasingly dark tone as the series progressed, as well as the often gruesome and graphic violence it depicts.', ', the books have sold more than 500 million copies worldwide, making them the best-selling book series in history, and have been translated into seventy-three languages.']","['Wizard', 'Apprentice', 'Wizard', 'Apprentice', 'Wizard', 'Apprentice', 'Wizard', 'Apprentice', 'Wizard', 'Apprentice']",7,1171
8,"[' Apprentice: Thierry Henry is one of my all time favorite players. What about you?', ' Wizard: He was good.  he is a retired French professional footballer', ' Apprentice: Yes I think he retired many years ago. He was a coach for Belgium during the World Cup.', ' Wizard: He played for Monaco, Juventus, Barcelona, New York Red Bulls so he has been almost everywere ', ' Apprentice: Thats quite a resume. He scored so many great goals too.', "" Wizard: he represented France and is his country's record goalscorer and was really good at it"", ' Apprentice: Yes I agree, Its a shame he did not win the world cup in 2006.', ' Wizard: He had his professional debut with Monaco in 1994.', ' Apprentice: That was over twenty years ago! Seems like just yesterday. ', ' Wizard: Yeah I have heard Good form led to an international call-up in 1998']","['Thierry Daniel Henry (; born 17 August 1977) is a retired French professional footballer who played as a forward and is the second assistant manager of the Belgium national team.', ""He played for Monaco, Juventus, Barcelona, New York Red Bulls and spent eight years at Arsenal where he is the club's all-time record goalscorer."", ""At international level he represented France and is his country's record goalscorer."", 'Henry made his professional debut with Monaco in 1994.', 'Good form led to an international call-up in 1998, after which he signed for the Serie A defending champions Juventus.', 'A year later he signed for Premier League club Arsenal for £11\xa0million.', 'It was at Arsenal that Henry made his name as a world-class player.', ""Under long-time mentor and coach Arsène Wenger, Henry became a prolific striker and Arsenal's all-time leading scorer with 228 goals in all competitions."", 'He won two league titles and three FA Cups at the club.', 'In 2003 and 2004 Henry was runner-up for the FIFA World Player of the Year.', ""He was named the PFA Players' Player of the Year twice, and the FWA Footballer of the Year three times."", 'Henry spent his final two seasons with Arsenal as club captain, leading them to the 2006 UEFA Champions League Final.']","['Apprentice', 'Wizard', 'Apprentice', 'Wizard', 'Apprentice', 'Wizard', 'Apprentice', 'Wizard', 'Apprentice', 'Wizard']",12,1311
9,"[' Wizard: Ive been hunting now for about 8 years, its really fun and I do it for the sport, Have you ever been hunting before? ', "" Apprentice: No, i haven't. It's not really my cup of tea."", ' Wizard: I have mostly used hunting as a means of pest control, I have an invasive species of warthogs on my land and they destroy my crops. ', ' Apprentice: Yes, that is completely understandable. Are warthogs edible?', ' Wizard: Usually yes but I always save the two pairs of tusks protruding from its mouth as a trophy, Their skin i svery think and hard to cut, But there are some hunters who eat them. ', ' Apprentice: I would think they would be way to gamey.', ' Wizard: The species that I usually game prey like rabbits, squirrels and some birds but are generally usually just small mammals and birds.', ' Apprentice: I bet rabbit tastes pretty good.']","['Hunting is the practice of killing or trapping animals, or pursuing or tracking them with the intent of doing so.', 'Hunting wildlife or feral animals is most commonly done by humans for food, recreation, to remove predators that are dangerous to humans or domestic animals, or for trade.', 'Lawful hunting is distinguished from poaching, which is the illegal killing, trapping or capture of the hunted species.', 'The species that are hunted are referred to as game or prey and are usually mammals and birds.', 'Hunting can also be a means of pest control.', ""Hunting advocates state that hunting can be a necessary component of modern wildlife management, for example, to help maintain a population of healthy animals within an environment's ecological carrying capacity when natural checks such as predators are absent or very rare."", 'However, excessive hunting has also heavily contributed to the endangerment, extirpation and extinction of many animals.', 'The pursuit, capture and release, or capture for food of fish is called fishing, which is not commonly categorised as a form of hunting.', 'It is also not considered hunting to pursue animals without intent to kill them, as in wildlife photography, birdwatching, or scientific research activities which involve tranquilizing or tagging of animals or birds.']","['Wizard', 'Apprentice', 'Wizard', 'Apprentice', 'Wizard', 'Apprentice', 'Wizard', 'Apprentice']",9,1459
