,id,response,cand,question,knowledge,knowledge_ans,score
0,0,Fibber McGee and Molly,Fibber McGee,Who is the mother of Molly?,"Jailhouse Rock is a 1957 American musical drama film directed by Richard Thorpe and starring Elvis Presley, Judy Tyler, and Mickey Shaughnessy.",[CLS],0.0
1,0,Fibber McGee and Molly,Molly,Who is Fibber McGee's wife?,"Jailhouse Rock is a 1957 American musical drama film directed by Richard Thorpe and starring Elvis Presley, Judy Tyler, and Mickey Shaughnessy.",[CLS],0.0
2,1,"Starr married Maureen Cox in 1965, and they had three children together: Za",Starr,Who married Maureen Cox?,"The island has lush vegetation, a product of its mild but changeable climate which is free of extremes in temperature.",[CLS],0.0
3,1,"Starr married Maureen Cox in 1965, and they had three children together: Za",Maureen Cox,Who did Starr marry in 1965?,"The island has lush vegetation, a product of its mild but changeable climate which is free of extremes in temperature.",[CLS],0.0
4,1,"Starr married Maureen Cox in 1965, and they had three children together: Za",1965,When did Starr marry Maureen Cox?,"The island has lush vegetation, a product of its mild but changeable climate which is free of extremes in temperature.",[CLS],0.0
5,1,"Starr married Maureen Cox in 1965, and they had three children together: Za",three,How many children did Starr and Cox have?,"The island has lush vegetation, a product of its mild but changeable climate which is free of extremes in temperature.",[CLS],0.0
6,2,The Upper Paleolithic,The Upper Paleolithic,What is the name of the Paleolithic period?,"Based on indirect evidence, the bow seems to have been invented near the transition from the Upper Paleolithic to the Mesolithic, some 10,000 years ago.",upper,0.6666666666666666
7,3,Popstars: The Rivals,Popstars,What is the name of The Rivals?,The Chihuahua () is the smallest breed of dog and is named after the state of Chihuahua in Mexico.,[CLS],0.0
8,3,Popstars: The Rivals,The Rivals,What is the name of the popstars?,The Chihuahua () is the smallest breed of dog and is named after the state of Chihuahua in Mexico.,[CLS],0.0
9,4,"The Nitty Gritty Dirt Band was founded around 1966 in Long Beach, California by singer",The Nitty Gritty Dirt Band,"What band was founded in 1966 in Long Beach, California?","Motivation theories can be classified on a number of bases:  Motivation as a desire to perform an action is usually defined as having two parts, directional such as directed towards a positive stimulus or away from a negative one, as well as the activated ""seeking phase"" and consummatory ""liking phase"".",[CLS],0.0
10,4,"The Nitty Gritty Dirt Band was founded around 1966 in Long Beach, California by singer",Long Beach,In what city was the Nitty Gritty Dirt Band founded?,"Motivation theories can be classified on a number of bases:  Motivation as a desire to perform an action is usually defined as having two parts, directional such as directed towards a positive stimulus or away from a negative one, as well as the activated ""seeking phase"" and consummatory ""liking phase"".",[CLS],0.0
