prompt,output
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Accompanied by guitarist Scotty Moore and bassist Bill Black, Presley was a pioneer of rockabilly, an uptempo, backbeat-driven fusion of country music and rhythm and blues. Conversation:  Wizard: Oh baby.... Elvis Presley is truly The King of Rock and Roll!  Apprentice: yes...who doesn't love Elvis Presley and his music?  Wizard: Seriously. I have been planning a vaction to Graceland myself. I have family in Tennessee so it could be good.  Apprentice: I would love to tour his home.  Which one of his songs is your favorite?/",<pad> Elvis Presley</s>
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: It is the second largest island in the British Isles, after Great Britain. Conversation:  Apprentice: What do you know about ireland?  Wizard: Are you referring to the island in the North Atlantic? It has a population of 6.6 million people. Why do you ask?  Apprentice: Exactly, do you know any thing about Island north Atlantic?","<pad> Apprentice: Yes, I know about the island in the North Atlantic.</s>"
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: In modern times, it is mainly a competitive sport and recreational activity. Conversation:  Apprentice: I recently took up archery and I think I love it. Do you know anything about Archery?  Wizard: Archery is a sport/skill of using a bow to propel arrows.  Apprentice: And a great sport it is. Do you know where archery originated from?",<pad> Archery is a sport/skill of using a bow to propel arrows
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Both folklore and archaeological finds show that the breed originated in Mexico. Conversation:  Apprentice: I love chihuahuas, I have 2 of them.  Wizard: Wow chihuahua are something else. Tiny and the smallest breed of dog.  Apprentice: Yep, they get a bad rap about their demeanor too. Most people say they're mean but one of mine is the sweetest ever.",<pad> The chihuahua is the smallest breed of dog.</s>
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Motivation theories can be classified on a number of bases:  Motivation as a desire to perform an action is usually defined as having two parts, directional such as directed towards a positive stimulus or away from a negative one, as well as the activated ""seeking phase"" and consummatory ""liking phase"". Conversation:  Wizard: What is your motivation for your actions related to education, work, etc.?  Apprentice: That's a tough question. I'd say my own progress. I like seeing how much I improve with something. You?  Wizard: I am retired now.  Are you familiar with the work of Mehr and Meyer, well known psychologists?  Apprentice: I am not. Could you tell me about them?","<pad> Wizard: Yes, I am. They are psychologists who study motivation.</s>"
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Hunting can also be a means of pest control. Conversation:  Wizard: I enjoy going out in the woods to hunt animals.  Apprentice: Hi. What sort of animals?  Wizard: The animals I would hunt are elk, mule deer, pheasants and Canadian geese. We would also hunt gophers because they would over populate and become pests.  Apprentice: I can understand about the gophers. And the geese. Canada geese are a scourge!","<pad> Wizard: Yes, they are.</s>"
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Much of the series takes place in and around Atlanta, Georgia, and later Alexandria, Virginia. Conversation:  Wizard: The Walking Dead is a kewl post apocalyptic horror tv show.  Apprentice: I have never watched it.  Who is in the show?  Wizard: The lead character is named Andrew Lincoln. The Sheriff's deputy is Rick Grimes.   Apprentice: When did the series start?  ",<pad> The Walking Dead is a kewl post apocalyptic horror
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: They have attracted a wide adult audience as well as younger readers, and are often considered cornerstones of modern young adult literature. Conversation:  Wizard: Harry Potter is a series of fantasy novels, do you know of them?  Apprentice: I do know them, but I have only seen the movies, I never read the books  Wizard: Ah well if you have only seen the movie you may not know that J.K Rowling wrote the books.  Apprentice: I have heard that, I recognize her name, I know she is very famous","<pad> Harry Potter is a series of fantasy novels, do you know of them?</s>"
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Henry made his professional debut with Monaco in 1994. Conversation:  Apprentice: Thierry Henry is one of my all time favorite players. What about you?  Wizard: He was good.  he is a retired French professional footballer  Apprentice: Yes I think he retired many years ago. He was a coach for Belgium during the World Cup.",<pad> Apprentice: I think Thierry Henry is one of my all time favorite players. What about you
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Hunting can also be a means of pest control. Conversation:  Wizard: Ive been hunting now for about 8 years, its really fun and I do it for the sport, Have you ever been hunting before?   Apprentice: No, i haven't. It's not really my cup of tea.  Wizard: I have mostly used hunting as a means of pest control, I have an invasive species of warthogs on my land and they destroy my crops.   Apprentice: Yes, that is completely understandable. Are warthogs edible?","<pad> Wizard: Yes, they are.</s>"
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: The emotional ""pain"" of a broken heart is believed to be part of the survival instinct. Conversation:  Apprentice: Have you ever had a broken heart?\  Wizard: Yes, I have suffered from a broken heart which is a metaphor for major emotional and physical pain that someone feels from the longing of a loved one. How about you?  Apprentice: I don't know if I have, I mean maybe when my dog was put down but that seems like it was the worst emotional pain I've had.","<pad> Wizard: Yes, I have. It's a metaphor for major emotional and physical pain"
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: The Organic Act of 1916 created the National Park Service ""to conserve the scenery and the natural and historic objects and wildlife therein, and to provide for the enjoyment of the same in such manner and by such means as will leave them unimpaired for the enjoyment of future generations."" Conversation:  Apprentice: I love national parks dont you?  Wizard: I do! The first national park was Yellowstone, signed into law by President Ulysses Grant in 1972.  Apprentice: Yes, I have never been there but I would love to go, have you been?","<pad> Apprentice: Yes, I have been to Yellowstone.</s>"
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Points are primarily scored by advancing the ball into the opposing team's end zone for a touchdown or kicking the ball through the opponent's goalposts for a field goal. Conversation:  Apprentice: I rather enjoy American football particularly college football. Do you watch/ have a favorite team?  Wizard: I do, the Dallas Cowboys. Bad of late but they will do great one day.  Apprentice: They had a great run in the 1990's. Plus, now that new stadium is rather impressive hopefully they can live up to it.",<pad> Apprentice: I'm a big fan of American football. I'm a Dallas
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Guns N' Roses' debut album, ""Appetite for Destruction"" (1987), reached number one on the ""Billboard"" 200 a year after its release, on the strength of ""Sweet Child o' Mine"", the band's only single to reach number one on the ""Billboard"" Hot 100. Conversation:  Apprentice: Have you heard of the band Guns N' Roses? They are my favorite band ever  Wizard: Sure the band was formed inn 1985 in  Los Angeles, California.  What is tour favorite album?  Apprentice: Id say my favorite is Appetite for destruction ",<pad> Apprentice: I'd say my favorite album is Appetite for destruction. Wizard: Sure
