index,topic,prompt
0,Elvis Presley,"Context: Fibber McGee and Molly originated when the small-time husband-and-wife vaudevillians began their third year as Chicago-area radio performers. Two of the shows they did for station WENR beginning in 1927, both written by Harry Lawrence, bore trac Question: Who were the sponsors? Answer: None. Question: Were the Jordans in vaudeville before radio? Answer: Fibber McGee and Molly originated when the small-time husband-and-wife vaudevillians began their third year as Chicago-area radio performers. Question: What kind of vaudeville act did they have? Answer: Two of the shows they did for station WENR beginning in 1927, both written by Harry Lawrence, Context: Hirsi Ali arrived in the Netherlands in 1992. That year she had travelled from Kenya to visit her family in Dusseldorf and Bonn, Germany and gone to the Netherlands to escape an alleged arranged marriage. Once ther Question: did she go to the Netherlands alone Answer: None. Question: When did she go to the netherlands Answer: Hirsi Ali arrived in the Netherlands in 1992. Question: why did she go to the netherlands Answer: visit her family in Dusseldorf and Bonn, Germany and gone to the Netherlands to escape an alleged arranged marriage. Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Jailhouse Rock is a 1957 American musical drama film directed by Richard Thorpe and starring Elvis Presley, Judy Tyler, and Mickey Shaughnessy. Conversation:  Wizard: Oh baby.... Elvis Presley is truly The King of Rock and Roll!  Apprentice: yes...who doesn't love Elvis Presley and his music?  Wizard: Seriously. I have been planning a vaction to Graceland myself. I have family in Tennessee so it could be good.  Apprentice: I would love to tour his home.  Which one of his songs is your favorite?/"
1,Ireland,"Context: When Starr married Maureen Cox in 1965, Beatles manager Brian Epstein served as best man, with Starr's stepfather Harry Graves and fellow Beatle George Harrison as witnesses. Soon afterwards, the couple's matrimony became the subject of a US novelty song, ""Treat Him Tender, Maureen"", by the Chicklettes. Starr and Maureen had three children together: Zak (born Question: Did he have kids with his second wife? Answer: None. Question: Was he ever married? Answer: Starr married Maureen Cox in 1965, Question: Did they have any kid? Answer: Starr and Maureen had three children together: Context: The Doors staged a return to form with their 1970 LP Morrison Hotel, their fifth album. Featuring a consistent hard rock sound, the album's opener was ""Roadhouse Blues"". The record reached No. 4 in the United States and reviv Question: did they win awards? Answer: None. Question: where is the morrison hotel? Answer: their fifth album. Question: did it win awards? Answer: The record reached No. 4 in the United States Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: The island has lush vegetation, a product of its mild but changeable climate which is free of extremes in temperature. Conversation:  Apprentice: What do you know about ireland?  Wizard: Are you referring to the island in the North Atlantic? It has a population of 6.6 million people. Why do you ask?  Apprentice: Exactly, do you know any thing about Island north Atlantic?"
2,Archery,"Context: Drusilla has all the standard powers and vulnerabilities of a vampire, plus minor psychic abilities. She is immortal, regenerates damage, drains human blood to survive, and is stronger than most humans. Drusilla' Question: did she have any weapons? Answer: None. Question: what powers does drusilla have? Answer: Drusilla has all the standard powers and vulnerabilities of a vampire, plus minor psychic abilities. Question: what are the powers of a vampire? Answer: She is immortal, regenerates damage, drains human blood to survive, and is stronger than most humans. Context: In October 1985, Little Richard returned to the United States from England, where he had finished recording his album Lifetime Friend, to film a guest spot on the show, Miami Vice. Following the taping, he accidentally crashed his sports car into a telephone pole in West Hollywood, California. He suffered a broken right leg, broken ribs and head and facial injuries. His recovery from the accident took several months. His accid Question: Is he still alive? Answer: None. Question: What kind of health issues did he have? Answer: He suffered a broken right leg, broken ribs and head and facial injuries. Question: Did he recover from the health problems he had? Answer: His recovery from the accident took several months. Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Based on indirect evidence, the bow seems to have been invented near the transition from the Upper Paleolithic to the Mesolithic, some 10,000 years ago. Conversation:  Apprentice: I recently took up archery and I think I love it. Do you know anything about Archery?  Wizard: Archery is a sport/skill of using a bow to propel arrows.  Apprentice: And a great sport it is. Do you know where archery originated from?"
3,Chihuahua (dog),"Context: Considering his subsequent high profile in cricket, Akhtar's test career started rather modestly. He was first picked to play on his home ground in Rawalpindi during the 2nd Test of the West Indies 1997/98 tour of Pakistan. He was su Question: Did he play with anybody famous? Answer: None. Question: how did his career start? Answer: Akhtar's test career started rather modestly. He was first picked to play on his home ground in Rawalpindi during the 2nd Test Question: What year did his career start? Answer: 1997/98 tour of Pakistan. Context: Styron's next two novels, published between 1967 and 1979, sparked much controversy. Feeling wounded by his first truly harsh reviews, for Set This House on Fire, Styron spent the years after its publication researching and writing his next novel, the fictitious memoirs of the historical Nathaniel ""Nat"" Turner, a slave who led a slave rebellion in 1831.  During the 1960s, Styron became an eyewitness to another time of rebellion in the United States, living an Question: Did he do anything else to protest the war? Answer: None. Question: Who was Nat Turner? Answer: Nathaniel ""Nat"" Turner, a slave who led a slave rebellion in 1831. Question: When did the controversy begin? Answer: During the 1960s, Styron became an eyewitness to another time of rebellion in the United States, Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: The Chihuahua () is the smallest breed of dog and is named after the state of Chihuahua in Mexico. Conversation:  Apprentice: I love chihuahuas, I have 2 of them.  Wizard: Wow chihuahua are something else. Tiny and the smallest breed of dog.  Apprentice: Yep, they get a bad rap about their demeanor too. Most people say they're mean but one of mine is the sweetest ever."
4,Motivation,"Context: The script took Schaefer four years to write, but when it was finished, the film came together quickly. With the help of producers Alexandra Milchan and Robert Salerno, Schaefer cast Jared Leto as Mark David Chapman. For his r Question: What actor or actress was given an award? Answer: None. Question: Who acted in chapter 27? Answer: Leto gained Question: What is the role of Leto? Answer: Jared Leto as Mark David Chapman. Context: As Hughes and Plath were legally married at the time of her death, Hughes in Question: What else did he publish? Answer: None. Question: What was the controversy? Answer: Hughes has been condemned repeatedly for burning Plath's last journal, saying he ""did not want her children to have to read it."" Question: Who was Hughes? Answer: As Hughes and Plath were legally married at the time of her death, Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Motivation theories can be classified on a number of bases:  Motivation as a desire to perform an action is usually defined as having two parts, directional such as directed towards a positive stimulus or away from a negative one, as well as the activated ""seeking phase"" and consummatory ""liking phase"". Conversation:  Wizard: What is your motivation for your actions related to education, work, etc.?  Apprentice: That's a tough question. I'd say my own progress. I like seeing how much I improve with something. You?  Wizard: I am retired now.  Are you familiar with the work of Mehr and Meyer, well known psychologists?  Apprentice: I am not. Could you tell me about them?"
5,Hunting,"Context: By 1944, Howard's energy began to wane. Films like Idle Roomers (1944) and Booby Dupes (1945) present a Curly whose voice was deeper and his actions slower. It is believed that he suffered the first of many strokes between t Question: Did he die as a result of his health? Answer: None. Question: What started Curly's decline? Answer: Howard's energy began to wane. Question: Was he sick? Answer: It is believed that he suffered the first of many strokes Context: In early 1993, animosity arose between Euronymous and Vikernes, and between Euronymous and the Swedish black metal scene.  On the night of 10 August 1993, Vikernes and Snorre 'Blackthorn' Ruch drove from Bergen to Euronymous' apartment at Toyengata in Oslo. Upon thei Question: Did the case go to trial? Answer: None. Question: When he was murdered? Answer: On the night of 10 August 1993, Question: Where was he when he was murdered? Answer: Euronymous' apartment at Toyengata in Oslo. Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Lawful hunting is distinguished from poaching, which is the illegal killing, trapping or capture of the hunted species. Conversation:  Wizard: I enjoy going out in the woods to hunt animals.  Apprentice: Hi. What sort of animals?  Wizard: The animals I would hunt are elk, mule deer, pheasants and Canadian geese. We would also hunt gophers because they would over populate and become pests.  Apprentice: I can understand about the gophers. And the geese. Canada geese are a scourge!"
6,The Walking Dead (TV series),"Context: The Niitsitapi, also known as the Blackfoot or Blackfeet Indians, reside in the Great Plains of Montana and the Canadian provinces of Alberta and Saskatchewan. Only one of the Niitsitapi tribes are called Blackfoot or Siksika. The name is said to have come from the color of the peoples' moccasins, made of leather. They had typically dyed or painted the soles of their moccasins black. One legen Question: What kind of god they prayed to ? Answer: None. Question: When is the Blackfoot confederacy started ? Answer: Only one of the Niitsitapi tribes are called Blackfoot or Siksika. Question: Does any record exist of the Blackfoots' early  history  ? Answer: The name is said to have come from the color of the peoples' moccasins, made of leather. They had typically dyed or painted the soles of their moccasins black. Context: The film was critically acclaimed upon release. It was named ""Best Reviewed Film of 2005 in Limite Question: how mny copies were ssod Answer: None. Question: was the movie  a success Answer: where it achieved a 93% positive review rating, Question: when was it released Answer: 2005 Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Beginning with its third season, ""The Walking Dead"" has attracted the most 18- to 49-year-old viewers of any cable or broadcast television series. Conversation:  Wizard: The Walking Dead is a kewl post apocalyptic horror tv show.  Apprentice: I have never watched it.  Who is in the show?  Wizard: The lead character is named Andrew Lincoln. The Sheriff's deputy is Rick Grimes.   Apprentice: When did the series start?  "
7,Harry Potter,"Context: Shaun Morgan, prior to the next album's debut, claimed that it would be more diverse than previous efforts. Finding Beauty in Negative Spaces was slated for an August release that was delayed until 23 October 2007 due to the suicide of Morgan's brother, Eugene Welgemoed. The album Question: What was the critic reveiw? Answer: None. Question: What album Was Finding Beauty in Negative Spaces? Answer: Finding Beauty in Negative Spaces was slated for an August release that was delayed until 23 October 2007 Question: Are there any other interesting aspects about this article? Answer: delayed until 23 October 2007 due to the suicide of Morgan's brother, Eugene Welgemoed. Context: While the actual ethno-linguistic affiliation of the Olmec remains unknown, various hypotheses have been put forward. For example, in 1968 Michael D. Coe speculated that the Olmec were Mayan predecessors.  In 1976, linguists Lyle Campbell and Terrence Kaufman published a paper in which they argued a core number of loanwords had apparently spread from a Mixe-Zoquean language into many other Mesoamerican languages. Campbell  Question: When was the Olmec period? Answer: None. Question: What was their ethnicity? Answer: While the actual ethno-linguistic affiliation of the Olmec remains unknown, various hypotheses have been put forward. Question: What was their language? Answer: published a paper in which they argued a core number of loanwords had apparently spread from a Mixe-Zoquean language into many other Mesoamerican languages. Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Since the release of the first novel, ""Harry Potter and the Philosopher's Stone"", on 26 June 1997, the books have found immense popularity, critical acclaim, and commercial success worldwide. Conversation:  Wizard: Harry Potter is a series of fantasy novels, do you know of them?  Apprentice: I do know them, but I have only seen the movies, I never read the books  Wizard: Ah well if you have only seen the movie you may not know that J.K Rowling wrote the books.  Apprentice: I have heard that, I recognize her name, I know she is very famous"
8,Thierry Henry,"Context: In 1970, Young formed a production company with Kevin Lewis (former Festival Records executive), Lewis-Young Productions, which developed the pop music television show Happening Question: Was he well liked on the show? Answer: None. Question: What happened at Young Talent? Answer: Young Talent Time from April 1971, a children's variety show and talent quest with Young as host. Question: How did he get that position? Answer: 1970, Young formed a production company with Kevin Lewis (former Festival Records executive), Lewis-Young Productions, which developed the pop music television show Context: In 1947, Ike Quebec introduced Monk to Lorraine Gordon and her f Question: Did he ever record for Blue Note under his own name? Answer: None. Question: Who was Lorraine Gordon? Answer: Monk to Lorraine Gordon and her first husband, Alfred Lion, the founder of Blue Note Records. Question: Who introduced them? Answer: Ike Quebec introduced Monk to Lorraine Gordon Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: At international level he represented France and is his country's record goalscorer. Conversation:  Apprentice: Thierry Henry is one of my all time favorite players. What about you?  Wizard: He was good.  he is a retired French professional footballer  Apprentice: Yes I think he retired many years ago. He was a coach for Belgium during the World Cup."
9,Hunting,"Context: During his early career, Canby served in the Second Seminole War in Florida and saw combat during the Mexican-American War, where he received three brevet promotions, including to major for Contreras and Churubusco, and lieutenant colonel for Belen Gates. He also s Question: Did Canby do anything in the Second Seminole War in Florida? Answer: None. Question: What happened in Canby's early military career? Answer: Canby served in the Second Seminole War in Florida and saw combat during the Mexican-American War, Question: What was Canby's rank in the military? Answer: where he received three brevet promotions, including to major for Contreras and Churubusco, and lieutenant colonel for Belen Gates. Context: On June 28, 2013, the day of the NBA draft, the Boston Celtics and the Brooklyn Nets reached a deal to trade Garnett, Paul Pierce and Jason Terry for future first-round picks in the 2014, 2016, and 2018 drafts, as well as Kris Humphries, Gerald Wallace, Kris Joseph, MarShon Brooks and Keith Bogans. The deal was finally completed on July 12, with Brooklyn also receiving D. J. White. Garnett chose to wear number 2 to honor his former Minnesota Timberwolves teammate Malik Sealy.  On Decem Question: where the nets in the playoffs ever with Kevin? Answer: None. Question: When did Kevin join the nets team? Answer: On June 28, 2013, the day of the NBA draft, the Boston Celtics and the Brooklyn Nets reached a deal to trade Garnett, Question: what number was he for the nets? Answer: Garnett chose to wear number 2 to honor his former Minnesota Timberwolves teammate Malik Sealy. Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: The species that are hunted are referred to as game or prey and are usually mammals and birds. Conversation:  Wizard: Ive been hunting now for about 8 years, its really fun and I do it for the sport, Have you ever been hunting before?   Apprentice: No, i haven't. It's not really my cup of tea.  Wizard: I have mostly used hunting as a means of pest control, I have an invasive species of warthogs on my land and they destroy my crops.   Apprentice: Yes, that is completely understandable. Are warthogs edible?"
