,episode_idx,topic,round,message,response,knowledge,gold,Q2
1,1,Ireland,3,"Exactly, do you know any thing about Island north Atlantic?","Wizard: Yes, I know about Ireland.","The island has lush vegetation, a product of its mild but changeable climate which is free of extremes in temperature.",There are lots of low-lying mountains in Ireland. Do you fancy a hike?,0.0
2,2,Archery,3,And a great sport it is. Do you know where archery originated from?,The Upper Paleolithic,"Based on indirect evidence, the bow seems to have been invented near the transition from the Upper Paleolithic to the Mesolithic, some 10,000 years ago.","It's a very old one, practiced for at least 10,000 years used for military or hunting in many cultures.",0.6666666666666666
3,3,Chihuahua (dog),3,"Yep, they get a bad rap about their demeanor too. Most people say they're mean but one of mine is the sweetest ever.",The Chihuahua () is the smallest breed of dog and is,The Chihuahua () is the smallest breed of dog and is named after the state of Chihuahua in Mexico.,"Yeah their history is shrouded in mystery, but the breed originated in Mexico.",1.0
4,4,Motivation,4,I am not. Could you tell me about them?,"Wizard: Yes, I am. They are psychologists who study motivation.","Motivation theories can be classified on a number of bases:  Motivation as a desire to perform an action is usually defined as having two parts, directional such as directed towards a positive stimulus or away from a negative one, as well as the activated ""seeking phase"" and consummatory ""liking phase"".","They said that ""Motivation is a word that is part of the popular culture as few other psychological concepts are.""  Do you agree with what they said?",0.0
5,5,Hunting,4,I can understand about the gophers. And the geese. Canada geese are a scourge!,Wizard: I enjoy going out in the woods to hunt animals. Apprentice: Hi. What,"Lawful hunting is distinguished from poaching, which is the illegal killing, trapping or capture of the hunted species.","The Canadian geese can become huge pests too. In the midwest they often get comfortable in parks and refuse to fly south, leaving droppings everywhere.",0.0
6,6,The Walking Dead (TV series),4,When did the series start?  ,The third season of The Walking Dead started in October 2013.,"Beginning with its third season, ""The Walking Dead"" has attracted the most 18- to 49-year-old viewers of any cable or broadcast television series.","The Walk Dead premiered in 2010, as a cable tv show on AMC",0.3333333333333333
7,7,Harry Potter,4,"I have heard that, I recognize her name, I know she is very famous",Harry Potter is a series of fantasy novels. Apprentice has only seen the movies.,"Since the release of the first novel, ""Harry Potter and the Philosopher's Stone"", on 26 June 1997, the books have found immense popularity, critical acclaim, and commercial success worldwide.","Yeah she wasn't famous before writing Harry Potter, she says she came up with the idea while on a delayed train from Manchester to London in 1990.",0.0
10,10,Broken heart,3,"I don't know if I have, I mean maybe when my dog was put down but that seems like it was the worst emotional pain I've had.","Wizard: Yes, I have. It's a metaphor for major emotional and physical pain","The emotional ""pain"" of a broken heart is believed to be part of the survival instinct.","When I had to put down my cat, I suffered immensely! The pain is severe and and can cause ""broken heart syndrome"" which means actual physical damage to your heart.",0.33333333333333337
12,12,Discovery Channel,4,It was? I haven't been around for long enough to have seen that.,The Discovery Channel is an American basic cable and satellite television channel. It is the flagship television property,"Discovery Channel (known as The Discovery Channel from 1985 to 1995, and often referred to as simply Discovery) is an American basic cable and satellite television channel (which is also delivered via IPTV, terrestrial television and internet television in other parts of the world) that is the flagship television property of Discovery Communications, a publicly traded company run by CEO David Zaslav.","itspopular too, discovery channel is the third most distributed on cabel",0.5
15,15,Nickelback,3,"The lead singer was very funny during the set, I forget his name though.",Apprentice went to a Nickelback concert this past summer. The lead singer was very funny during,"The band is composed of guitarist and lead vocalist Chad Kroeger, guitarist, keyboardist and backing vocalist Ryan Peake, bassist Mike Kroeger, and drummer Daniel Adair.",I wasn't aware at first but Nickelback is not American there originating from Canada,0.0
16,16,Elvis Presley,4,Can you tell me more about that magazine?,"Wizard: Yes, I love classic rock, especially from the 50s. Rock N Roll Experience","Hard rock developed into a major form of popular music in the 1970s, with notable bands such as AC/DC, the Who, Led Zeppelin, Queen, Black Sabbath, Deep Purple, Aerosmith, KISS and Van Halen.","They started in 1992, and have done colorful interviews with bands like KISS",0.0
17,17,Bowling,3,"Yeah, its sort of an older persons activity like bingo, it's not so much that younger people cant do it, its just not the primary audience","Let's Go Bowling has shared the stage with many diverse musical acts, including No Dou","Let's Go Bowling has shared the stage with many diverse musical acts, including No Doubt, Pearl Jam, Goo Goo Dolls, Men at Work, The English Beat, Steel Pulse, Busta Rhymes, The Skatalites, Reel Big Fish, Reverend Horton Heat, Fishbone, The Untouchables, Cherry Poppin' Daddies, Tokyo Ska Paradise Orchestra, Moe., the Young Dubliners, and Shaggy.","That reminds me, have you ever heard of the band Let's Go Bowling? It's a ska band from California.",0.875
19,19,Skiing,4,"That makes sense. Maybe my Scandinavian ancestry is why I'm ok at skiing. Not downhill, though, only cross country. Do you think genetics has much to do with skiing abilities?","Wizard: Yes, it's a good idea.",no_passages_used,"Hmm I'm not sure, maybe! You should petition the Ski and Snowboard Association and Cross Country Ski Canada to research this line of questioning!",0.0
20,20,Harry Potter,3,I really think that Harry Potter should not have been the main character though,Harry Potter chronicles the life of Harry Potter and his friends.,"The series has also had its share of criticism, including concern about the increasingly dark tone as the series progressed, as well as the often gruesome and graphic violence it depicts.",The story concerns Harry's battle with Lord Voldemort.,0.0
21,21,Skiing,4,That's interesting.  I have never seen that before.  When was skiing invented?,The first depiction of a skier with two ski poles dates to 1741,The first depiction of a skier with two ski poles dates to 1741.,Earliest history were found in Russia and date to 6000 BCE.,1.0
23,23,The Walking Dead (TV series),4,He does a decent job. He has been meme'd to death because of that role.,Wizard: I've heard that the zombies are a lot more dangerous than they look,"A zombie (Haitian French: """", ) is a fictional undead being created through the reanimation of a human corpse.",I liked it when he awakens from a coma to find the world that he new is now overrun by zombies.,0.0
24,24,Dylan's Candy Bar,3,They have everything! i just love it,"Dylan Lauren was featured on the cover of the May 2011 ""Forbes"" magazine for inherit","Founder Dylan Lauren was featured on the cover of the May 2011 ""Forbes"" magazine for inheriting her father's entrepreneurial genes.",Yes Ralph Laurens daughter Dylan  Lauren owns them,0.6666666666666666
25,25,American football,3,I think my favorite team is the cowboys,Wizard: I love American football too. It's a great team sport played on ,He is one of only two players to win five Super Bowls (the other being defensive player Charles Haley) and the only player to win them all playing for one team.,"Don't hold this against me, but I like the Patriots. They seem to always be the team with the most points at the end of the game.",0.0
26,26,Ireland,4,have you been to europe?,"Wizard: Yes, I have been to Europe.",Thick woodlands covered the island until the Middle Ages.,"I have! Ive been to British isles of Great Britain, England to be exact, it is where I was born but ive lived my life in America since I was a baby. Visited last winter too.",0.0
27,27,Guns N' Roses,3,All the great bands come from LA. Is the band still together today?,"Apprentice: Yes, they are still together today.","Guns N' Roses has released six studio albums, accumulating sales of more than 100 million records worldwide, including 45 million in the United States, making them the 41st best-selling artist of all time.","Axl Rose, Slash, Izzy, Duff and Steven Adler still perform today!",0.0
28,28,Game design,4,Thats cool what kind of games do you design?,Wizard: I design video games. Applying game design itself is a metadesign. Apprentice,"Academically, game design is part of game studies, while game theory studies strategic decision making (primarily in non-game situations).",Game design I use is used to create for entertainment or education. I've seen some for exercising too.,0.0
29,29,Popcorn,3,Who invented popcorn?,Wizard: It is based on corn and kernels.,Archaeologists discovered that people have known about popcorn for thousands of years.,"I am not sure, but corn was developed in Mexico long ago.",0.0
