,episode_idx,topic,round,message,response,knowledge,gold,Q2
1,1,Ireland,3,"Exactly, do you know any thing about Island north Atlantic?","Starr married Maureen Cox in 1965, and they had three children together: Za","The island has lush vegetation, a product of its mild but changeable climate which is free of extremes in temperature.",There are lots of low-lying mountains in Ireland. Do you fancy a hike?,0.0
2,2,Archery,3,And a great sport it is. Do you know where archery originated from?,"Drusilla has all the standard powers and vulnerabilities of a vampire, plus minor psychic","Based on indirect evidence, the bow seems to have been invented near the transition from the Upper Paleolithic to the Mesolithic, some 10,000 years ago.","It's a very old one, practiced for at least 10,000 years used for military or hunting in many cultures.",0.0
3,3,Chihuahua (dog),3,"Yep, they get a bad rap about their demeanor too. Most people say they're mean but one of mine is the sweetest ever.","Styron's next two novels, published between 1967 and 1979, sparked",The Chihuahua () is the smallest breed of dog and is named after the state of Chihuahua in Mexico.,"Yeah their history is shrouded in mystery, but the breed originated in Mexico.",0.0
6,6,The Walking Dead (TV series),4,When did the series start?  ,The Walking Dead is a kewl post apocalyptic horror,"Beginning with its third season, ""The Walking Dead"" has attracted the most 18- to 49-year-old viewers of any cable or broadcast television series.","The Walk Dead premiered in 2010, as a cable tv show on AMC",0.0
8,8,Thierry Henry,3,Yes I think he retired many years ago. He was a coach for Belgium during the World Cup.,Thierry Henry is a retired French professional footballer. He was a coach for Belgium,At international level he represented France and is his country's record goalscorer.,"He played for Monaco, Juventus, Barcelona, New York Red Bulls so he has been almost everywere ",0.0
11,11,List of national parks of the United States,3,"Yes, I have never been there but I would love to go, have you been?","Jones released his debut solo album, A Sentimental Education, in 2009.",no_passages_used,"I have! I've also been to Rock Creek Park, Yosemite, and Mackinac National Park!",0.0
12,12,Discovery Channel,4,It was? I haven't been around for long enough to have seen that.,"Earl Winfield Spencer Jr., a U.S. Navy aviator, at","Discovery Channel (known as The Discovery Channel from 1985 to 1995, and often referred to as simply Discovery) is an American basic cable and satellite television channel (which is also delivered via IPTV, terrestrial television and internet television in other parts of the world) that is the flagship television property of Discovery Communications, a publicly traded company run by CEO David Zaslav.","itspopular too, discovery channel is the third most distributed on cabel",0.0
14,14,Guns N' Roses,3,Id say my favorite is Appetite for destruction ,"After ending his amateur career in 2005, Golovkin signed a professional deal with the ","Guns N' Roses has released six studio albums, accumulating sales of more than 100 million records worldwide, including 45 million in the United States, making them the 41st best-selling artist of all time.",Yes that is  good.  They have released six studio albums and sold more than 100 million records worldwide.,0.0
20,20,Harry Potter,3,I really think that Harry Potter should not have been the main character though,"The series has also had its share of criticism, including concern about the increasingly dark tone as the","The series has also had its share of criticism, including concern about the increasingly dark tone as the series progressed, as well as the often gruesome and graphic violence it depicts.",The story concerns Harry's battle with Lord Voldemort.,0.0
22,22,"On-again, off-again relationship",3,"Yes, i am most times emotionally unstable, i wonder if true love exists? where you love each other all the way down, and no on and off again.","Bernard Lewis graduated from the School of Oriental Studies (now School of Oriental and African Studies, SO",no_passages_used,Did you ever go back to your partner for comfort?,0.0
24,24,Dylan's Candy Bar,3,They have everything! i just love it,"Dylan Lauren was featured on the cover of the May 2011 ""Forbes"" magazine for inherit","Founder Dylan Lauren was featured on the cover of the May 2011 ""Forbes"" magazine for inheriting her father's entrepreneurial genes.",Yes Ralph Laurens daughter Dylan  Lauren owns them,1.0
25,25,American football,3,I think my favorite team is the cowboys,"BT released his third album, Movement in Still Life, in 1999.",He is one of only two players to win five Super Bowls (the other being defensive player Charles Haley) and the only player to win them all playing for one team.,"Don't hold this against me, but I like the Patriots. They seem to always be the team with the most points at the end of the game.",0.0
26,26,Ireland,4,have you been to europe?,"Jello Biafra was brought to trial in Los Angeles for distributing ""harm",Thick woodlands covered the island until the Middle Ages.,"I have! Ive been to British isles of Great Britain, England to be exact, it is where I was born but ive lived my life in America since I was a baby. Visited last winter too.",0.0
33,33,Bowling,3,"are you on a team, my dad was always on a bowling team when I was growing up","The maximum score is 300, which is achieved by getting 12 strikes in a row.","The maximum score is 300, which is achieved by getting 12 strikes in a row.",Usually i just play with a friend and the pins are knocked down every time I play!,1.0
37,37,Game design,3,where were your classes taken?,"The most common undergraduate degree is the bachelor's degree, although in some countries lower qualifications are","The most common undergraduate degree is the bachelor's degree, although in some countries lower qualifications are titled degrees (e.g.",I took classes in high school before getting my diploma.,0.4444444444444445
